Text,Date,Likes,Retweets
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:11:44+00:00,0,1589
"RT @Aceh: Seluruh Aceh Gelap 🕯 mati lampu  sampai Minggu, 14 Des 2025. Aceh terisolasi terputus dari jaringan listrik Sumatera. Aceh mati l…",2025-12-09 11:11:43+00:00,0,3
"RT @gimbot75: Disaat Saudara"" kita di pulau sumatera Berjuang melawan banjir &amp; longsor efek penggundulan hutan yg ugal""an, disudut sana sau…",2025-12-09 11:11:39+00:00,0,2390
"Banjir &amp; longsor melanda Aceh, Sumatera Utara, dan Sumatera Barat.
Ayo ikuti perkembangan penanganannya lewat kanal resmi BNPB.
Tetap waspada dan jaga keselamatan.

https://t.co/TIiL1LNNeB

BNPB Live Update Bencana",2025-12-09 11:11:33+00:00,0,0
RT @Aceh: Komentar Korban Bencana yg pernah merasakan Bencana Tsunami 2004 yang membunuh lebih 200 ribu warga Aceh dan juga jadi korban Ben…,2025-12-09 11:11:26+00:00,0,1552
RT @zakiberkata: Pohon hutan jauh lebih baik dibanding Sawit dalam menahan longsor dan banjir https://t.co/a4P6tbh2Bt,2025-12-09 11:11:24+00:00,0,3227
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:11:24+00:00,0,1589
RT @andywindarto: Gubernur Sumbar @mahyeldi_sp membatalkan resepsi pernikahan 3 orang putranya tanggal 6-7 Desember 2025 dan memindahkan ja…,2025-12-09 11:11:23+00:00,0,39
"RT @inilahdotcom: Suasana kepanikan menyelimuti Desa Aek Bottar, Kecamatan Tukka.

Banjir dan longsor besar memaksa warga bergerak cepat me…",2025-12-09 11:11:14+00:00,0,11
"RT @tempodotco: Biang Kerok Banjir Sumatera

Lebih dari 800 orang meninggal akibat banjir dan longsor di Sumatera. Pemerintah pusat tak kun…",2025-12-09 11:11:10+00:00,0,2246
"RT @persib: Kita bersuara bersama di stadion, dan bergerak bersama untuk kemanusiaan.

#PERSIB mengajak Bobotoh untuk membantu saudara-saud…",2025-12-09 11:11:07+00:00,0,1
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:10:46+00:00,0,1589
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:10:45+00:00,0,1589
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:10:40+00:00,0,1589
"RT @taufik_q: Sangat menyentuh. Begitu sedihnya dokter muda ini, melihat kondisi RSUD Tamiang Aceh, pasca bencana banjir dan longsor di Ace…",2025-12-09 11:10:38+00:00,0,9
RT @zakiberkata: Pohon hutan jauh lebih baik dibanding Sawit dalam menahan longsor dan banjir https://t.co/a4P6tbh2Bt,2025-12-09 11:10:18+00:00,0,3227
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:10:03+00:00,0,1589
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:09:45+00:00,0,1589
"RT @gimbot75: Disaat Saudara"" kita di pulau sumatera Berjuang melawan banjir &amp; longsor efek penggundulan hutan yg ugal""an, disudut sana sau…",2025-12-09 11:09:44+00:00,0,2390
"RT @real_pcyina: PARK CHANYEOL INA PEDULI - #AllEyesOnSumatra 🇮🇩🍒

Sumatra kembali berduka.
Banjir bandang, longsor, dan rumah yang hilang…",2025-12-09 11:09:42+00:00,0,164
"RT @kompascom: ""Saat ini baru 60 persen listrik menyala di 18 kabupaten/kota yang terdampak banjir dan longsor di Aceh. Saya minta seluruh…",2025-12-09 11:09:40+00:00,0,247
RT @zakiberkata: Pohon hutan jauh lebih baik dibanding Sawit dalam menahan longsor dan banjir https://t.co/a4P6tbh2Bt,2025-12-09 11:09:39+00:00,0,3227
"RT @gimbot75: Disaat Saudara"" kita di pulau sumatera Berjuang melawan banjir &amp; longsor efek penggundulan hutan yg ugal""an, disudut sana sau…",2025-12-09 11:09:39+00:00,0,2390
"Video detik-detik korban terjebak kebakaran di gedung 7 lantai di Kemayoran menunggu untuk di evakuasi oleh petugas. Selasa 09/12
Jakarta Pusat https://t.co/r29ZJLmcZ9",2025-12-09 11:09:35+00:00,0,0
"RT @gimbot75: Disaat Saudara"" kita di pulau sumatera Berjuang melawan banjir &amp; longsor efek penggundulan hutan yg ugal""an, disudut sana sau…",2025-12-09 11:09:24+00:00,0,2390
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:09:21+00:00,0,1589
"RT @gimbot75: Disaat Saudara"" kita di pulau sumatera Berjuang melawan banjir &amp; longsor efek penggundulan hutan yg ugal""an, disudut sana sau…",2025-12-09 11:09:21+00:00,0,2390
"RT @gimbot75: Disaat Saudara"" kita di pulau sumatera Berjuang melawan banjir &amp; longsor efek penggundulan hutan yg ugal""an, disudut sana sau…",2025-12-09 11:09:20+00:00,0,2390
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:09:16+00:00,0,1589
RT @Aceh: Warga Aceh merasa kecewa setelah menonton di YouTube laporan para pembantu Presiden @Prabowo dalam rapat terbatas penanganan banj…,2025-12-09 11:09:14+00:00,0,392
"RT @Aceh: Seluruh Aceh Gelap 🕯 mati lampu  sampai Minggu, 14 Des 2025. Aceh terisolasi terputus dari jaringan listrik Sumatera. Aceh mati l…",2025-12-09 11:09:12+00:00,0,3
"Pantau kondisi terkini banjir longsor di 3 provinsi melalui BNPB Live Update.
Follow juga TikTok @bnpbindonesia, IG @bnpb_indonesia, dan X @BNPB_Indonesia untuk info terbaru.

https://t.co/pdEuFqCJrJ

BNPB Live Update Bencana",2025-12-09 11:09:11+00:00,0,0
@P0lt4k_1511 Mereka berjuang untuk evakuasi mandiri. Semoga Allah melindungi mereka agar sampai di tempat yang aman. Aamiin,2025-12-09 11:09:09+00:00,0,0
"RT @NarasiNewsroom: Sebanyak 40 jenazah korban bencana banjir dan longsor di Aceh, Sumatera Utara, dan Sumatera Barat ditemukan pada Senin…",2025-12-09 11:09:07+00:00,0,330
"RT @IbrahimAzzaini: Besok kita distribusikan ya.
Logistik untuk para korban longsor dan banjir di Tapanuli Tengah. 

Target kita adalah lok…",2025-12-09 11:09:06+00:00,0,10
"Sekjen PDI-P Hasto Kristiyanto menilai banjir bandang dan longsor di Aceh, Sumatera Utara, dan Sumatera Barat tidak terlepas dari kesalahan kebijakan para pemegang kekuasaan.

Ia menyampaikan hal ini dalam seminar nasional Refleksi Hari Antikorupsi Sedunia di Sekolah Partai https://t.co/alHzunkPzP",2025-12-09 11:09:03+00:00,0,0
"RT @NarasiNewsroom: Sebanyak 40 jenazah korban bencana banjir dan longsor di Aceh, Sumatera Utara, dan Sumatera Barat ditemukan pada Senin…",2025-12-09 11:08:57+00:00,0,330
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:08:55+00:00,0,1589
"🚨 Update banjir &amp; longsor Sumatera setakat 7.00 malam: 940 korban meninggal, 276 hilang. Operasi SAR masih berlanjut di Aceh, Sumut &amp; Sumbar. #BanjirSumatera #PrayForSumatera

🔗 https://t.co/MUbajEBrcs",2025-12-09 11:08:54+00:00,0,0
"RT @Aceh: Seluruh Aceh Gelap 🕯 mati lampu  sampai Minggu, 14 Des 2025. Aceh terisolasi terputus dari jaringan listrik Sumatera. Aceh mati l…",2025-12-09 11:08:54+00:00,0,3
"RT @gimbot75: Disaat Saudara"" kita di pulau sumatera Berjuang melawan banjir &amp; longsor efek penggundulan hutan yg ugal""an, disudut sana sau…",2025-12-09 11:08:49+00:00,0,2390
"RT @kompascom: Mahkamah Partai Gerindra memastikan akan segera menggelar sidang etik terhadap Bupati Aceh Selatan Mirwan MS, yang kini teng…",2025-12-09 11:08:48+00:00,0,1
"Komika sekaligus musisi Praz Teguh turun langsung ke lokasi banjir dan longsor di Sumatera. Ia berhasil menggalang dana sekitar Rp1 miliar untuk bantuan logistik, sembako, dan obat-obatan bagi para ko",2025-12-09 11:08:47+00:00,0,0
"BNPB terus melakukan update situasi dan penanganan bencana banjir &amp; longsor di Aceh, Sumut, dan Sumbar.
Saksikan BNPB Live Update Bencana di YouTube @bnpb_indonesia.

https://t.co/a8oI8OqjDe

BNPB Live Update Bencana",2025-12-09 11:08:46+00:00,0,0
"Dari pagi ke sore, petugas PLN muter terus untuk benerin sambungan yang ketarik longsor. Tenaganya seakan ga habis. https://t.co/uC5NmOvZHj",2025-12-09 11:08:37+00:00,0,0
"RT @BBCIndonesia: Tujuh bupati di Aceh sudah menyatakan tidak sanggup menangani banjir dan longsor. Di saat yang sama, warga Aceh, Sumut, d…",2025-12-09 11:08:35+00:00,0,199
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:08:35+00:00,0,1589
RT @zakiberkata: Pohon hutan jauh lebih baik dibanding Sawit dalam menahan longsor dan banjir https://t.co/a4P6tbh2Bt,2025-12-09 11:08:33+00:00,0,3227
"RT @gimbot75: Disaat Saudara"" kita di pulau sumatera Berjuang melawan banjir &amp; longsor efek penggundulan hutan yg ugal""an, disudut sana sau…",2025-12-09 11:08:33+00:00,0,2390
@willthesheeple @aimr0d Gedung tinggi tapi jalur evakuasi ga proper atau bahkan ga ada,2025-12-09 11:08:08+00:00,0,0
"RT @tang__kira: TW // Animal Abuse

Seekor kucing ditemukan tewas dengan setengah bagian tubuhnya tertimbun di tanah di sebuah universitas…",2025-12-09 11:07:52+00:00,0,274
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:07:52+00:00,0,1589
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:07:45+00:00,0,1589
PLN Pulihkan 100 Persen Listrik Sumut Pascabencana Banjir dan Longsor https://t.co/tFYOti63qB https://t.co/b20HFulAi0,2025-12-09 11:07:17+00:00,0,0
"RT @kompascom: ""Saat ini baru 60 persen listrik menyala di 18 kabupaten/kota yang terdampak banjir dan longsor di Aceh. Saya minta seluruh…",2025-12-09 11:07:16+00:00,0,247
"Seluruh Aceh Gelap 🕯 mati lampu  sampai Minggu, 14 Des 2025. Aceh terisolasi terputus dari jaringan listrik Sumatera. Aceh mati listrik sejak Nov 26 🌀 Bencana Banjir dan Longsor 
https://t.co/ArUcor0ksT https://t.co/GEJ1N5XWZU",2025-12-09 11:07:14+00:00,4,3
"RT @gimbot75: Disaat Saudara"" kita di pulau sumatera Berjuang melawan banjir &amp; longsor efek penggundulan hutan yg ugal""an, disudut sana sau…",2025-12-09 11:07:13+00:00,0,2390
"Kita bersuara bersama di stadion, dan bergerak bersama untuk kemanusiaan.

#PERSIB mengajak Bobotoh untuk membantu saudara-saudara kita yang terdampak banjir dan longsor di Sumatera melalui dua bentuk dukungan:

📲 Donasikan uang melalui PERSIB App
👕 Sumbangkan pakaian layak https://t.co/A7Bpvg3COv",2025-12-09 11:07:13+00:00,9,1
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:07:09+00:00,0,1589
"RT @gimbot75: Disaat Saudara"" kita di pulau sumatera Berjuang melawan banjir &amp; longsor efek penggundulan hutan yg ugal""an, disudut sana sau…",2025-12-09 11:07:01+00:00,0,2390
"RT @gimbot75: Disaat Saudara"" kita di pulau sumatera Berjuang melawan banjir &amp; longsor efek penggundulan hutan yg ugal""an, disudut sana sau…",2025-12-09 11:06:53+00:00,0,2390
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:06:48+00:00,0,1589
"RT @NarasiNewsroom: Kementerian Pendidikan Tinggi, Sains, dan Teknologi (Kemendiktisaintek) mencatat per 6 Desember pukul 21.00 WIB, ada 60…",2025-12-09 11:06:45+00:00,0,101
"RT @aniesbaswedan: Telah nyata kerusakan di darat dan di laut karena ulah tangan manusia. (QS 30:41) 

Catatan reflektif tentang bencana……",2025-12-09 11:06:42+00:00,0,20631
sampe detik ini masih gakuat liat gajah yang dipaksa bantu” evakuasi. org” pada kenapa?? kita harus lapor kesiapa ya biar mrk berhenti bodoh? gangerti lg,2025-12-09 11:06:25+00:00,0,0
"RT @gimbot75: Disaat Saudara"" kita di pulau sumatera Berjuang melawan banjir &amp; longsor efek penggundulan hutan yg ugal""an, disudut sana sau…",2025-12-09 11:06:25+00:00,0,2390
"Satu persatu lokasi longsor dibenahi dan Semoga segera di pulihkan kembali 

#longsor
#pembenahan
#prayfortapanuli 
#PrayForSumatera https://t.co/GrMa3PXvm5",2025-12-09 11:06:25+00:00,0,0
"RT @gimbot75: Disaat Saudara"" kita di pulau sumatera Berjuang melawan banjir &amp; longsor efek penggundulan hutan yg ugal""an, disudut sana sau…",2025-12-09 11:05:55+00:00,0,2390
RT @zakiberkata: Pohon hutan jauh lebih baik dibanding Sawit dalam menahan longsor dan banjir https://t.co/a4P6tbh2Bt,2025-12-09 11:05:55+00:00,0,3227
"RT @gimbot75: Disaat Saudara"" kita di pulau sumatera Berjuang melawan banjir &amp; longsor efek penggundulan hutan yg ugal""an, disudut sana sau…",2025-12-09 11:05:29+00:00,0,2390
"RT @tempodotco: Biang Kerok Banjir Sumatera

Lebih dari 800 orang meninggal akibat banjir dan longsor di Sumatera. Pemerintah pusat tak kun…",2025-12-09 11:05:09+00:00,0,2246
"RT @Aceh: Balok-balok kayu seperti misil 🚀 hantam sebuah rumah di Bener Meriah Aceh

Banjir Aceh 2025 🌀 cyclone senyar adalah bencana banji…",2025-12-09 11:05:07+00:00,0,43
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:05:04+00:00,0,1589
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:05:01+00:00,0,1589
"RT @gimbot75: Disaat Saudara"" kita di pulau sumatera Berjuang melawan banjir &amp; longsor efek penggundulan hutan yg ugal""an, disudut sana sau…",2025-12-09 11:05:00+00:00,0,2390
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:04:33+00:00,0,1589
"Electrizen

Dengan perjuangan maksimal, menembus jalur yang sulit, PLN berhasil memulihkan 100% sistem kelistrikan Sumatra Utara pada Minggu (07/12) yang sebelumnya terdampak banjir dan longsor. 

#PLNUntukSemua #PLNUntukIndonesia #PrayforSumut #SumatraKembaliTerang https://t.co/uAfpAJ5pS8",2025-12-09 11:04:25+00:00,0,0
"RT @NarasiNewsroom: Sebanyak 40 jenazah korban bencana banjir dan longsor di Aceh, Sumatera Utara, dan Sumatera Barat ditemukan pada Senin…",2025-12-09 11:04:18+00:00,0,330
"@ngebrojorka @spectatorindex Kebakaran di gedung kantor 7 lantai Terra Drone Indonesia, Jakarta Pusat, dimulai dari ledakan baterai di lantai 1 siang ini (9 Des 2025). Korban tewas 20 orang (5 pria, 15 wanita, termasuk 1 hamil), sebagian besar karena sesak napas. Api sudah padam, evakuasi masih berlangsung.",2025-12-09 11:04:04+00:00,0,0
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:04:00+00:00,0,1589
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:03:56+00:00,0,1589
"RT @gimbot75: Disaat Saudara"" kita di pulau sumatera Berjuang melawan banjir &amp; longsor efek penggundulan hutan yg ugal""an, disudut sana sau…",2025-12-09 11:03:55+00:00,0,2390
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:03:52+00:00,0,1589
"RT @kompascom: ""Saat ini baru 60 persen listrik menyala di 18 kabupaten/kota yang terdampak banjir dan longsor di Aceh. Saya minta seluruh…",2025-12-09 11:03:45+00:00,0,247
"RT @kompascom: ""Saat ini baru 60 persen listrik menyala di 18 kabupaten/kota yang terdampak banjir dan longsor di Aceh. Saya minta seluruh…",2025-12-09 11:03:43+00:00,0,247
"RT @mercindonesia: Bantuan Hygiene Kit MER-C Tiba di Sumbar, Langsung Dibagikan ke Penyintas Banjir dan Longsor

Padang – Bantuan hygiene k…",2025-12-09 11:03:21+00:00,0,9
"RT @gimbot75: Disaat Saudara"" kita di pulau sumatera Berjuang melawan banjir &amp; longsor efek penggundulan hutan yg ugal""an, disudut sana sau…",2025-12-09 11:03:19+00:00,0,2390
"RT @gimbot75: Disaat Saudara"" kita di pulau sumatera Berjuang melawan banjir &amp; longsor efek penggundulan hutan yg ugal""an, disudut sana sau…",2025-12-09 11:03:19+00:00,0,2390
"RT @gimbot75: Disaat Saudara"" kita di pulau sumatera Berjuang melawan banjir &amp; longsor efek penggundulan hutan yg ugal""an, disudut sana sau…",2025-12-09 11:03:06+00:00,0,2390
"RT @kompascom: ""Saat ini baru 60 persen listrik menyala di 18 kabupaten/kota yang terdampak banjir dan longsor di Aceh. Saya minta seluruh…",2025-12-09 11:03:05+00:00,0,247
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:03:03+00:00,0,1589
RT @zakiberkata: Pohon hutan jauh lebih baik dibanding Sawit dalam menahan longsor dan banjir https://t.co/a4P6tbh2Bt,2025-12-09 11:02:55+00:00,0,3227
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:02:45+00:00,0,1589
"RT @Aceh: Balok-balok kayu seperti misil 🚀 hantam sebuah rumah di Bener Meriah Aceh

Banjir Aceh 2025 🌀 cyclone senyar adalah bencana banji…",2025-12-09 11:02:42+00:00,0,43
"RT @gimbot75: Disaat Saudara"" kita di pulau sumatera Berjuang melawan banjir &amp; longsor efek penggundulan hutan yg ugal""an, disudut sana sau…",2025-12-09 11:02:36+00:00,0,2390
"RT @infomitigasi: Berikut ini kami sampaikan wilayah-wilayah yang terdapat Notifikasi berpotensi terjadi Banjir dan maupun potensi Longsor,…",2025-12-09 11:02:35+00:00,0,119
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:02:30+00:00,0,1589
"Innalillahi kebakaran di kantor Terra drone Cempaka Putih siang tadi

https://t.co/yFLtyO58fS https://t.co/9bDMkK9Zga",2025-12-09 11:02:28+00:00,0,0
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:02:26+00:00,0,1589
"RT @DS_yantie: Kemenhut semakin ketar ketir aja nih
Mendengar Kejagung akan menindak tegas perusahaan atau siapapun yang terlibat merusak H…",2025-12-09 11:02:21+00:00,0,31
